ID,Severity,Phase,Document,Where,Finding,Detail,Evidence,Consequence,Recommended fix,Root cause,V1.0 severity,In launch scope,Phase 3 status,Phase 3 notes
P6-05,high,Misc QA (Doc 14),14,"form-waitlist, account-main-account-dashboard, sub-banner-web3",Three sections overflow the viewport because grid tracks default to auto min sizing,"A CSS grid track's implicit minimum is `auto`, so a track cannot shrink below its item's min-content width unless it is written `minmax(0, 1fr)` or the item is given `min-width:0`. Three sections hit this. form-waitlist: `.q-field { min-width: 240px }` and the inline variant's `min-width: 220px` give the card a min-content of 489px, so the single grid track computes to 488.8px inside a 272px container. account-main-account-dashboard: the recent-orders table has `white-space: nowrap` on every th/td and no scroll wrapper, giving a min-content of 341px inside a 296px container. sub-banner-web3: the section is `display:grid` and `.qsbw3__stage` carries `margin-inline: clamp(16px, 4vw, 56px)`, so the auto track sizes to the stage's min-content plus both margins (358.4px at a 320px viewport).","Measured with computed styles at the failing viewports. form-waitlist at 320: parent .q-grid width 272px, grid-template-columns resolves to 488.812px. account-main-account-dashboard at 320: parent 296px, track 341.312px. sub-banner-web3 at 320/375/768/1024: section 320px, track 358.391px; the stage renders 326px wide starting at x=16.","Horizontal scroll on phones for the waitlist form and the customer dashboard, and on tablets as well for sub-banner-web3. account-main-account-dashboard is notable because the sibling section account-main-account-orders wraps the same table in `.qtmAccountOrders__tableWrap { overflow-x: auto }` — the dashboard copy of the table lost the wrapper.","Write the tracks as `minmax(0, 1fr)`; change `.q-field { min-width: 240px }` to `min-width: min(240px, 100%)`; wrap the dashboard's orders table in an `overflow-x:auto` container as account-main-account-orders already does.",RC-08,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P6-10,high,Misc QA (Doc 14),14,"section-slideshow.js (7,821 bytes) and section-slideshow.css (7,932 bytes)",The slideshow's controller script and stylesheet are loaded by nothing and the markup it drives does not exist,"section-slideshow.js binds three hooks — [data-q-carousel-dot], [data-q-carousel-toggle] and [data-q-progress] — and none of the three appears anywhere in the theme's rendered markup or in any Liquid source. The script is also referenced by no asset_url call, and neither is section-slideshow.css. Both sit in the folder unused.","265 distinct selectors were extracted from the 36 JavaScript files and cross-referenced against the ids, classes and data-attributes present in the rendered output of every section and block (818 ids, 4,429 classes, 786 data-attributes). 19 selectors resolved to nothing; 15 of those match markup the script itself creates at runtime (quick-view, wishlist, collection-modern filters) and were excluded. These three are the residue: no source emits them and no script creates them.","The slideshow-banner section renders its own dots inline (measured as button.q-dot 10x10) rather than through this controller, so nothing is broken on screen — but 15.7KB of maintained code is dead, and anyone reading section-slideshow.js will reasonably assume it is live.",Decide whether slideshow-banner should be migrated onto this controller or the pair should be deleted. Do not leave it as-is; this is the file most likely to be edited by mistake.,RC-13,RECOMMENDED IMPROVEMENT,yes,NOT FIXED,Excluded broad dormant-code/CSS work; no deletion or architecture rewrite.
P6-12,high,Misc QA (Doc 14),14,collection-modern cluster,An entire collection template is present in the theme but wired to nothing,"section-collection-modern.js (14,890 bytes), section-collection-modern.css (7,835) and section-collection-modern-simple.css (12,846) are all orphaned, and there is no host section that loads them. Ten snippets in the same cluster are likewise reachable from no section. Total dead weight is roughly 64KB.","Asset cross-reference plus the snippet reachability graph from Document 12. The JS's five unresolved hooks ([data-qcm-open-filters], [data-qcm-close-filters], [data-qcm-compareclear], [data-qcm-comparego], [data-qcm-qv-close]) are all created by the script itself, which is consistent with a complete but unmounted feature rather than a broken one.","The theme carries a finished collection experience that a merchant cannot reach. It is either an unfinished feature that should ship, or leftovers that should be removed — both are defensible, but shipping it in this state means 64KB of unreviewed code in the store and a confusing folder for whoever maintains it next.","Decide: build the host section and the snippet wiring, or delete the cluster. This is a product decision, not a bug fix, and it should be made before launch rather than after.",RC-13,RECOMMENDED IMPROVEMENT,yes,NOT FIXED,Excluded broad dormant-code/CSS work; no deletion or architecture rewrite.
P2-05,medium,Section block layer (Docs 2-10),3,multipurpose-hero-banner,slide.animation is read by nothing,"The schema declares animation as a select labelled 'Content anim.'. The string slide.settings.animation appears nowhere in the section, in either of the two snippets it renders (multipurpose-banner-slide, multipurpose-banner-content), or in assets/multipurpose-hero-banner.css.","Survived every configuration tried, and a source search of the complete render tree returns no read. The only 'animation' in the section CSS is an unrelated prefers-reduced-motion reset.",A merchant-visible control that does nothing.,"Wire it to a class on the content wrapper, or remove it.",RC-10,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-08,medium,Section block layer (Docs 2-10),4,call-to-action-banner,button.size is read zero times,"The button block declares size as a select (sm / md / lg, default md). The string settings.size does not appear anywhere in the section.",Confirmed across all five layout variants with the block's own gates both open and closed: no configuration produced any change. Source search returns 0 reads.,"A merchant-visible control that does nothing. The button markup has no size class at all, so buttons cannot be sized.","Append a size class to btn_class, or remove the setting.",RC-10,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-10,medium,Section block layer (Docs 2-10),4,call-to-action-reviews,The literal text ' photo' leaks onto the page beside every reviewer avatar,"Line 512 writes alt: b.reviewer_name | append: ' photo' inside image_tag's argument list. Liquid does not allow a pipe inside a filter argument, so Shopify applies append to the whole image_tag output instead of to the alt text.","Rendered output in the masonry layout: <img src=... class=""q-reviewer-avatar"" alt=""Sarah Johnson""> photo -- the word 'photo' is printed as page text, and the alt attribute loses its intended suffix.","Visible stray text next to each reviewer avatar, plus a small accessibility regression in the alt text. Same fault class as the nine sites already documented in Document 3 and as P2-09; three instances found this pass, so this is a recurring authoring pattern rather than a one-off.",Assign the alt text before the filter chain: {%- assign avatar_alt = b.reviewer_name | append: ' photo' -%} then alt: avatar_alt.,RC-04,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P2-14,medium,Section block layer (Docs 2-10),5,social-media-ugc-hashtag-gallery,The screen-reader label control is never read; aria-label falls back to visible text,"The block declares sr_label, labelled 'Screen reader label (optional)' with the default 'View post on social media'. Line 355 builds the accessible name from b.link_label instead: `assign sr_base = b.link_label | default: 'View post'`. b.sr_label is read nowhere in the section or any snippet (0 occurrences outside the schema).","Measured inert, then confirmed by source search of the full render tree and by reading the aria-label construction at lines 355-369.","An accessibility control that does nothing. Whatever the merchant writes for screen-reader users is silently discarded, and the aria-label duplicates the visible link text rather than describing the destination -- the opposite of what the control exists for.",assign sr_base = b.sr_label | default: b.link_label | default: 'View post',RC-10,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P4-04,medium,Block setters & blocks (Doc 11),Blocks,content-heading,The Highlight text feature emits a span that no CSS styles,"When highlight_text matches a substring of the heading, the block wraps that substring in <span class=""qtm-heading__highlight"">. The class qtm-heading__highlight appears in exactly one place in the theme -- the line in blocks/content-heading.liquid that writes it. No stylesheet, snippet or section defines a rule for it.","Rendered content-heading with highlight_text set to a word present in the default heading: the span is emitted, so the substitution works. A theme-wide search for the class finds no CSS rule. The highlighted word therefore renders identically to the text around it.",A merchant uses 'Highlight text' expecting emphasis and sees no change. It is the same root cause as P4-02 -- markup written for CSS that does not exist -- on the block most likely to be used.,Add a rule for .qtm-heading__highlight in whichever stylesheet ends up carrying the primitive block styles.,RC-02,LAUNCH BLOCKER,yes,NO LONGER APPLICABLE,Current qtm-content-blocks-engine.js includes qtm-heading__highlight consumers. Existing source contradicts the missing-style diagnosis.
P5-04,medium,"Snippets, architecture, accessibility (Doc 12)",Misc,15 sections,A section-surface design system is referenced but was never built,"15 sections emit a class of the form q-section--bg-{{ style }} and rely on the companion properties --q-section-bg, --q-section-fg, --q-section-muted and --q-section-card-bg. No file in the theme defines any .q-section--bg-* rule. --q-section-fg, --q-section-muted and --q-section-card-bg are set by zero files; --q-section-bg is set by three sections for their own use only.","Theme-wide search across sections, snippets, blocks and assets. The 'Background style' select on each of these sections therefore has no effect.","Fourteen of the fifteen still render legibly because their text colours resolve to something readable; 3rd-party-powered-by does not (P5-03). The wider cost is that a documented, merchant-facing control does nothing on 15 sections. Same root cause as the unstyled primitive blocks in Document 11: markup and tokens written for CSS that does not exist.","Implement the .q-section--bg-* rules and define the section-surface properties globally, or remove the class and the Background style control.",RC-02,LAUNCH BLOCKER,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,Shared q-section--bg-* contract now covers 13 retained consumers; the original 15-section count predates removals.
P5-06,medium,"Snippets, architecture, accessibility (Doc 12)",Misc,theme-wide,78% of the theme's CSS is embedded in Liquid and re-sent on every page load,"232 <style> blocks and 11 {% stylesheet %} blocks inside section, snippet and block files hold 1,880,500 bytes of CSS, against 517,964 bytes in assets/*.css. There are also 684 inline style attributes and 334,764 bytes of inline JavaScript.","Measured on a representative eight-section homepage: 157,006 bytes of body HTML, of which 107,392 bytes -- 68% -- is CSS inside <style> blocks. Per section: header-two 23KB of CSS, footer-two 20KB, featured-content-collection-spotlight 18KB, hero-banner 13KB.","None of it can be browser-cached, it is re-sent on every page view, it is duplicated when a section appears twice on a page, and it bypasses Shopify's asset minification. This is the largest single lever on the theme's page weight.","Move the static majority of each section's CSS into assets/*.css loaded once, and keep only the genuinely dynamic custom-property declarations inline. The token pattern the theme already uses makes this a mechanical split rather than a rewrite.",RC-15,POST-LAUNCH CANDIDATE,yes,NOT FIXED,Excluded broad dormant-code/CSS work; no deletion or architecture rewrite.
P5-07,medium,"Snippets, architecture, accessibility (Doc 12)",Misc,theme-wide,"Accessibility: 58 contrast failures, 11 unlabelled fields, 17 anchors without href","Audited on rendered output at 1440px with the theme's stylesheets loaded, measuring computed colour against the effective background and checking for anything painted behind the text before calling a failure.","58 genuine contrast failures across 26 sections (WCAG 1.4.3), led by 3rd-party-powered-by (11), grid-banner (6), footer-five (5), footer-four (4), footer-two (4). 39 images render with an empty alt attribute and 101 without width/height (layout shift). 11 form fields have no associated label -- 5 further ones are deliberate honeypots and were excluded -- including the whole of 3rd-party-bulk-ordering's form and the variant and quantity selectors on main-product-compact and main-product-modern-variant (WCAG 3.3.2, 4.1.2). 17 anchors render without an href, and 6 controls have no accessible name. 3 sections skip a heading level, h1 straight to h3 (WCAG 1.3.1). 25 target=""_blank"" links across 2 files omit rel=""noopener"".",These are the failures that survived a deliberate false-positive filter; a further 61 flagged items were text over imagery or a painted element and are excluded rather than reported.,"Work the accompanying CSV in order: labels on the bulk-ordering and product forms first, then the contrast list, then width/height on images.",RC-12,V1.0 MUST FIX,yes,PARTIALLY FIXED,"Shared focus, form input geometry, drawer focus and section surface foundations repaired. Original section-specific labeling/contrast/link cases are not all closed."
P6-06,medium,Misc QA (Doc 14),14,"account-main-account-order, account-main-account-orders",The orders table's scroll wrapper is switched off at exactly the width where it is needed,"assets/account-main-account-orders.css:176 gives `.qtmAccountOrders__tableWrap` `width:100%; overflow-x:auto`, which is correct. Inside the narrow-viewport media query, line 521 sets `[id^=""QtmAccountMainOrders-""].qtmAccountOrders--table .qtmAccountOrders__tableWrap { overflow: visible; }` — the shorthand resets overflow-x back to visible for the table layout variant, so the table escapes its container instead of scrolling inside it.","At a 768px viewport the table measures 898.7px wide inside a 736px wrapper, right edge 916, document scrollWidth exceeds the viewport. account-main-account-order shows the same class of failure at 320px: `.qtmAccountOrder__main` and `.qtmAccountOrder__aside` both render 351px wide at x=12 in a 320px viewport.",The order history page scrolls sideways on tablets and small laptops in the `--table` layout. The `--hybrid` variant is unaffected because it hides the wrapper and shows cards instead.,"Change line 521 to `overflow-x: auto; overflow-y: visible`, or drop the rule — the intent appears to have been vertical overflow only.",RC-08,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P6-07,medium,Misc QA (Doc 14),14,37 sections,199 interactive targets are smaller than 24x24 CSS pixels at phone widths,"Measured at a 390px viewport across all 159 sections, with the WCAG inline exception applied (links sitting inside a sentence of running text are excluded). Four groups remain. (A) 24 carousel and slider controls with both axes under 24px: q-dot 8x8 on call-to-action-featured-product and slideshow-banner, q-hero-dot 10x10 on hero-banner and sub-banner-classic, q-review-dot 10-12px on call-to-action-reviews, q-carousel-dot 12-14px on carousel-hero-banner, q-dev-pin 14x14 on maps-store-locator, qcmQv__arrow 6x26 on collection-modern-quick-view. (B) 158 navigation links whose height is 16-23px while the width is fine — 81 of them in the five footer sections (footer-five 24, footer-two 17, footer-one 15, footer-three 13, footer-four 12), the rest in the account nav, the blog sidebar and product-card title links. (C) 12 checkbox/radio inputs, chiefly product-bundles' qtm-include at 18x44. (D) 5 disclosure summaries at 18px tall.","p6/tap2.json holds every element with its class, computed display and measured box. The raw sweep found 197 candidates at 320px; after adding the inline exception and re-measuring at 390px the figure is 199 across 37 sections, so the exception removed almost nothing — these are list items and standalone controls, not inline prose links.","Group A is the practical problem: 8-14px carousel dots are close to impossible to hit reliably on a phone and there is no other way to jump between slides. Group B is a bulk WCAG 2.5.8 failure that a compliance audit will flag on every page, since the footer is global.","Group A: keep the visual dot size and add `padding: 8px; background-clip: content-box;` or a `::before` hit area of at least 24x24. Group B: add `padding-block: 4px` to the footer, account-nav and sidebar link rules — one line per list, five of the twelve rules cover 81 of the 158.",RC-12,V1.0 MUST FIX,yes,PARTIALLY FIXED,Common keyboard controls repaired; no claim that all 199 component targets have been resized.
P6-11,medium,Misc QA (Doc 14),14,global-popup.js,The popup's manual open trigger can never fire because no file emits the attribute it listens for,"global-popup.js attaches its open handler to [data-qtm-popup-open]. That attribute appears in no Liquid file and in no rendered output, and no script writes it at runtime.","Same 265-selector cross-reference as P6-10. [data-qtm-popup-open] is the only unresolved selector in this file, and unlike the quick-view and wishlist cases the script does not create it.","The popup's scroll-depth and exit-intent triggers still work, so the feature appears functional. The manual trigger — a merchant putting a button in a rich-text block to open the popup — silently does nothing, and there is no documentation telling a merchant what attribute to use.","Either emit the attribute from a documented block, or remove the handler and document the two triggers that do work.",RC-13,RECOMMENDED IMPROVEMENT,yes,NOT FIXED,Excluded broad dormant-code/CSS work; no deletion or architecture rewrite.
P2-02,low,Section block layer (Docs 2-10),2,header-five,promo_block.link_label can never be used,"snippets/header-marketplace-departments.liquid reads link_label only as a fallback when button_label is blank, but button_label ships with the default 'Explore now', so it is never blank and the fallback never fires.","Survived 511 section configurations in the pairwise verifier. link_url was correctly NOT flagged, because button_url has no default and that fallback genuinely can fire.","The control is labelled 'Legacy link label' in the schema, which suggests it is a leftover. It occupies editor space and does nothing.","Remove the setting, or drop button_label's default so the fallback is reachable.",RC-10,V1.0 MUST FIX,yes,NOT FIXED,Legacy label remains the fallback only when button_label is blank. No repair/closure claimed; retained for a focused dependency decision.
P2-18,low,Section block layer (Docs 2-10),7,main-blog-collection,The Categories block's 'Show count' checkbox is read by nothing,"The tags block declares show_count ('Show count', default false). The id appears exactly once in the file -- in the schema at line 845 -- and nowhere in the section body or in blog-card, the only snippet the section renders.","Measured inert, then confirmed by source: 1 occurrence in the file, all of it schema; 0 reads in the render tree.",A merchant ticking 'Show count' on the Categories block sees no change. Post counts never appear.,"Render the count beside each tag when the setting is on, or remove the control.",RC-10,V1.0 MUST FIX,yes,NOT FIXED,Show count still has no renderer. Accurate tag counts must not be inferred from a limited blog.articles page; requires a separately verified implementation.
P2-19,low,Section block layer (Docs 2-10),10,main-cart,The reward tier's 'Reward type' select is read by nothing,"The reward_tier block declares reward_type (select, default 'shipping'). The id appears exactly once in main-cart.liquid -- in the schema -- and is read by none of the five snippets the section renders (cart-addons, cart-line-item, cart-progress-rewards, cart-rewards-progress-bar, cart-summary).","Measured inert, then confirmed by source: 1 occurrence in the section, all schema; the cart snippets read only threshold_amount, locked_text, unlocked_text and icon.",A merchant choosing a reward type sees no difference. Every tier behaves the same regardless of the选 selection.,"Branch on reward_type when rendering the tier, or remove the control.",RC-10,V1.0 MUST FIX,yes,FIXED — REQUIRES LIVE SHOPIFY VERIFICATION,See root-cause implementation map and grouped commits. Shopify rendering remains unverified.
P5-05,low,"Snippets, architecture, accessibility (Doc 12)",Misc,snippets/,27 of 86 snippets are rendered by nothing,"18% of the snippet layer, 61,890 bytes, has no caller anywhere in sections, snippets, blocks, layout or templates. The largest group is a complete modern collection UI -- collection-modern-toolbar, -product-card, -facets, -sort, -pagination, -active-filters, -compare-tray, -empty-state and two utils files, 10 snippets and 28,265 bytes -- for which no main-collection-modern section exists. header-two-mega-menu (10,259 bytes) is superseded by an inline mega menu in header-two, which renders no snippets at all. cart-drawer, search-form-predictive and search-controller are orphaned alongside their own missing assets (cart-drawer.js, predictive-search.css).",Full render-graph built from every render and include across the theme.,"Dead code rather than a defect. It inflates the theme, and it makes the collection-modern and cart-drawer features look available when nothing hosts them.","Either wire the collection-modern set to a section and ship it, or delete the group. Same decision for the header-two and search clusters.",RC-13,RECOMMENDED IMPROVEMENT,yes,NOT FIXED,Excluded broad dormant-code/CSS work; no deletion or architecture rewrite.
P6-08,low,Misc QA (Doc 14),14,"header-four, sub-banner-web3",Countdown unit labels render at 9px at every viewport,assets/header-four.css:347 sets `.qtmHeaderFour__countdownUnit span { font-size: 9px; opacity: 0.7 }` for the Days / Hours / Min / Sec labels. There is no viewport at which this scales up. sub-banner-web3's kicker resolves to 10.4px at 320-375px and 10.8px at 768px.,"Measured at 320, 375, 768, 1024 and 1920: header-four's four labels are 9px at all five. Only these two sections in the theme place text under 11px.","9px at 70% opacity is below the practical readability floor and fails common brand accessibility checklists, though it is not a numbered WCAG failure on its own.","Raise to 11px and drop the opacity to 0.85, or remove the labels and rely on the `d h m s` suffixes.",RC-12,V1.0 MUST FIX,yes,PARTIALLY FIXED,No blanket type-size redesign. The component-specific small labels remain for later accessibility review.
P6-14,low,Misc QA (Doc 14),14,"sections/header.liquid, sections/footer.liquid","Two scaffolding stubs ship as sections, with no schema and a setting that does not exist","sections/header.liquid and sections/footer.liquid are two lines each. Neither has a `{% schema %}` block, so neither can be added or configured in the theme editor, and both read `settings.shop_name`, which is not declared anywhere in config/settings_schema.json — the theme's 13 setting groups have no such id.","header.liquid is `<header><h1>{{ settings.shop_name }}</h1></header>`; footer.liquid is `<footer><p>&copy; {{ 'now' | date: '%Y' }} {{ settings.shop_name }}</p></footer>`. Both were caught because the measurement harness could not load a schema for them. layout/theme.liquid renders header-one through header-five and footer-one through footer-five, so neither stub is reachable — they are unreferenced.","No shopper impact today. The risk is that `header` and `footer` are the two most obvious names in the folder, so anyone new to the theme will open these first and conclude the header is two lines long. They also make the section count misleading: 159 files, 157 real sections.","Delete both, or give them a schema and a real implementation if they were meant to be the fallback layout.",-,V1.0 MUST FIX,no - section cut,INTENTIONALLY REMOVED,Absent in the approved post-Phase-2 source; no Phase-3 deletion.
