Section,Setting or token,Candidate kind,Trace verdict,Disposition,Root cause,Why,Trace detail
call-to-action-reviews,grad_end,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `s.background_image != blank or s.background_video != blank`
call-to-action-reviews,grad_start,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `s.background_image != blank or s.background_video != blank`
call-to-action-reviews,grad_start_opacity,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `s.background_image != blank or s.background_video != blank`
call-to-action-reviews,heading_alignment,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,media_object_fit,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,slide_image_aspect,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,slide_image_height_desktop,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,slide_image_height_mobile,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-reviews,slide_image_radius,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-social-proof,btn_bg_hover,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-social-proof,btn_text_hover,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-social-proof,btn_transition_ms,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
call-to-action-social-proof,grad_angle,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.background_image != blank`
call-to-action-social-proof,grad_end,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.background_image != blank`
call-to-action-social-proof,grad_start,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.background_image != blank`
call-to-action-social-proof,grad_start_opacity,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `s.background_image != blank`
call-to-action-social-proof,logo_max_h,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-blog-spotlight,auto_limit,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `source_mode == 'manual'`
featured-content-blog-spotlight,color_card_bg,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `blog_obj != blank`
featured-content-blog-spotlight,color_card_border,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `picked >= auto_limit`
featured-content-blog-spotlight,color_tag_bg,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `picked >= auto_limit`
featured-content-blog-spotlight,color_tag_border,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `a.tags contains tag_filter`
featured-content-blog-spotlight,color_tag_text,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `tag_filter != blank`
featured-content-blog-spotlight,excerpt_words,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `use_custom_colors`
featured-content-blog-spotlight,show_date,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `use_custom_colors`
featured-content-blog-spotlight,show_excerpt,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `use_custom_colors`
featured-content-blog-spotlight,show_image,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `use_custom_colors`
featured-content-collection-spotlight,card_subtitle_size,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-collection-spotlight,card_title_size,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-collection-spotlight,media_fit,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-collection-spotlight,overlay_opacity,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-full-image-banner-only-sale,image_fit,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
featured-content-full-image-banner-only-sale,image_position,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders nearly empty; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
featured-content-product-spotlight-row,bg_mode,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-product-spotlight-row,bg_overlay_opacity,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-product-spotlight-row,bg_position,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-product-spotlight-row,hero_max_h,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-sale-highlight,columns_desktop,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-sale-highlight,columns_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-sale-highlight,hide_if_empty,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-sale-highlight,max_cards,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `bg_mode == 'shared' and section.settings.section_bg_image != blank`
featured-content-testimonial-highlight,avatar_border_w,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,avatar_radius,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,avatar_size,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,badge_fs,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,badge_pad_x,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,badge_pad_y,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,badge_radius,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,bg_position,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,bg_size,placement,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,carousel_arrows,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,carousel_autoplay_ms,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.use_custom_colors`
featured-content-testimonial-highlight,carousel_dots,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,carousel_gap,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,carousel_peek,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,carousel_slide_min,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
featured-content-testimonial-highlight,show_badge,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `show_header and has_header_content`
feeds-blogs,cols_desktop,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
feeds-blogs,cols_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
feeds-blogs,excerpt_chars,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
feeds-blogs,excerpt_mode,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.bg_mode != 'none'`
feeds-blogs,pagination_mode,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `filter_tag == blank or article.tags contains filter_tag`
feeds-collection-grid,card_bg,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.show_header`
feeds-collection-grid,card_border,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.show_header`
feeds-collection-grid,columns_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
feeds-collection-grid,meta_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.show_header`
feeds-collection-grid,overlay_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.show_header`
feeds-collection-grid,overlay_text_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.show_header`
feeds-collection-grid,overlay_text_source,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.show_header`
feeds-collection-grid,title_color,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",only reached under `section.settings.show_header`
feeds-product-grid,--hidden,orphan,DEAD-TOKEN,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),--hidden is declared and read by no CSS rule
feeds-product-grid,actions_layout,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'inherit'`
feeds-product-grid,badge_bg,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,badge_border,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,badge_fill,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,badge_position,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,badge_sale,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'title-ascending'`
feeds-product-grid,badge_style,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,badge_text,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,btn_bg,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,btn_bg_hover,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,btn_border,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,btn_text,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,btn_text_hover,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,button_full_width,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,button_hover_strength,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,button_size,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,button_style,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,card_bg,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,card_border,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,card_density,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,card_preset,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `section.settings.subheading != blank`
feeds-product-grid,carousel_hide_scrollbar,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,carousel_nav,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,carousel_snap,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,columns_desktop,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,columns_laptop,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,columns_phone,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,columns_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,compare_price_color,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,enable_quick_add,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'created-descending'`
feeds-product-grid,enable_quick_view,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'created-descending'`
feeds-product-grid,hover_actions_visibility,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'inherit'`
feeds-product-grid,hover_overlay_color,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,hover_treatment,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'inherit'`
feeds-product-grid,layout_mode_desktop,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,layout_mode_mobile,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,manual_products_fallback,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,media_fit,placement,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),needs more than one condition true at once: `show_sort_dropdown and can_paginate`
feeds-product-grid,media_mode,placement,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),needs more than one condition true at once: `show_sort_dropdown and can_paginate`
feeds-product-grid,pagination_mode,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,price_color,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,price_mode,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'price-descending'`
feeds-product-grid,price_size,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,price_weight,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,products_per_page,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,quick_add_mode,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'price-ascending'`
feeds-product-grid,quick_view_placement,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'price-ascending'`
feeds-product-grid,reviews_show_count,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),needs more than one condition true at once: `show_filters_toggle and has_filters`
feeds-product-grid,reviews_source,placement,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),needs more than one condition true at once: `show_filters_toggle and has_filters`
feeds-product-grid,scroll_gallery_limit,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),needs more than one condition true at once: `show_sort_dropdown and can_paginate`
feeds-product-grid,show_badges,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `sort_order == 'price-descending'`
feeds-product-grid,show_row_quick_view,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),needs more than one condition true at once: `enable_quick_view and quick_view_placement != 'none' and quick_view_placement !=`
feeds-product-grid,show_secondary_row_cta,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),needs more than one condition true at once: `enable_quick_view and quick_view_placement != 'none' and quick_view_placement !=`
feeds-product-grid,show_variant_swatches,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `show_filter_count`
feeds-product-grid,swatch_limit,dead,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `show_filter_count`
feeds-product-grid,swatch_style,placement,GATED-SIBLING,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),only reached under `show_filter_count`
feeds-product-grid,title_size,dead,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,title_style,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
feeds-product-grid,title_weight,placement,DEAD,REQUIRES LIVE VERIFICATION,,section renders empty state; nothing on the page to affect (rig #30),"referenced and reachable, yet no option changed the rendered page"
footer-five,columns_tablet,dead,DEAD,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone","referenced and reachable, yet no option changed the rendered page"
form-compact,gradient_from,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `eff_endpoint == blank and s.destination == 'custom_endpoint'`
form-compact,gradient_to,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `eff_endpoint == blank and s.destination == 'custom_endpoint'`
form-compact,overlay_color,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `eff_endpoint == blank and s.destination == 'custom_endpoint'`
form-compact,overlay_opacity,dead,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `eff_endpoint == blank and s.destination == 'custom_endpoint'`
form-compact,split_media_side,placement,GATED-MULTI,REQUIRES LIVE VERIFICATION,,"inert offline, but the element this setting controls needs merchant or Shopify data to render; mechanism cannot be proven from the code alone",needs more than one condition true at once: `anchor_id != blank and anchor_id != section.id`
